geoid,name,B23025001,"B23025001, Error",B23025002,"B23025002, Error",B23025003,"B23025003, Error",B23025004,"B23025004, Error",B23025005,"B23025005, Error",B23025006,"B23025006, Error",B23025007,"B23025007, Error"
86000US19145,"19145",38047,1403,24044,1468,24044,1468,21463,1224,2581,638,0,22,14003,1006
86000US19146,"19146",33668,1417,24165,1251,24155,1248,22745,1166,1410,319,10,14,9503,760
86000US19147,"19147",32772,1080,24947,1015,24898,1016,23580,1001,1318,247,49,32,7825,650
86000US19148,"19148",42332,1457,26829,1137,26829,1137,24730,1038,2099,361,0,24,15503,1088
86000US19149,"19149",44103,1764,28878,1377,28878,1377,26026,1319,2852,627,0,24,15225,1047
86000US19150,"19150",18805,859,11183,744,11183,744,10022,765,1161,300,0,19,7622,613
86000US19151,"19151",25808,1412,16542,1224,16521,1220,15164,1174,1357,412,21,34,9266,865
86000US19152,"19152",29678,1204,17116,985,17116,985,16077,886,1039,301,0,22,12562,798
86000US19153,"19153",10853,733,6793,659,6793,659,6271,628,522,210,0,16,4060,500
86000US19154,"19154",27795,848,18576,848,18553,850,17478,836,1075,254,23,29,9219,586
86000US19428,"19428",15204,437,11783,405,11760,407,11381,413,379,124,23,23,3421,327
86000US19444,"19444",8651,489,5812,357,5799,360,5721,356,78,45,13,21,2839,349
