docket_no,sex,race
MC-51-CR-0019956-2020,Male,White
MC-51-CR-0009295-2020,Male,Black
MC-51-CR-0018135-2020,Male,Black
MC-51-CR-0008890-2020,Male,Black
MC-51-CR-0020526-2020,Male,Black
MC-51-CR-0008400-2020,Male,Black
MC-51-CR-0022647-2020,Male,Black
MC-51-CR-0006419-2020,Male,Black
MC-51-CR-0008666-2020,Male,Black
MC-51-CR-0022421-2020,Male,Black
MC-51-CR-0006889-2020,Male,Black
MC-51-CR-0020740-2020,Male,Black
MC-51-CR-0001948-2020,Female,White
MC-51-CR-0004778-2020,Female,Black
MC-51-CR-0018353-2020,Male,Unknown/Unreported
MC-51-CR-0015085-2020,Male,Black
MC-51-CR-0012144-2020,Male,White
MC-51-CR-0005920-2020,Male,Black
MC-51-CR-0021918-2020,Male,Black
MC-51-CR-0002471-2020,Female,Black
MC-51-CR-0021588-2020,Female,Black
MC-51-CR-0010225-2020,Male,Black
MC-51-CR-0010043-2020,Male,White
MC-51-CR-0007827-2020,Male,White
MC-51-CR-0017182-2020,Male,Black
MC-51-CR-0002617-2020,Male,White
MC-51-CR-0000576-2020,Female,Black
MC-51-CR-0012322-2020,Female,Black
MC-51-CR-0008667-2020,Male,White
MC-51-CR-0022420-2020,Male,Black
MC-51-CR-0006418-2020,Male,White
MC-51-CR-0004779-2020,Female,White
MC-51-CR-0018352-2020,Male,Black
MC-51-CR-0006888-2020,Male,White
MC-51-CR-0020741-2020,Male,Black
MC-51-CR-0001949-2020,Male,Black
MC-51-CR-0020527-2020,Male,Black
MC-51-CR-0018134-2020,Male,Black
MC-51-CR-0008891-2020,Male,Black
MC-51-CR-0008401-2020,Male,White
MC-51-CR-0022646-2020,Male,Black
MC-51-CR-0002616-2020,Male,Black
MC-51-CR-0010042-2020,Male,Black
MC-51-CR-0007826-2020,Male,White
MC-51-CR-0017183-2020,Male,Black
MC-51-CR-0012323-2020,Male,Black
MC-51-CR-0000577-2020,Female,White
MC-51-CR-0000711-2020,Male,Black
MC-51-CR-0021919-2020,Male,Black
MC-51-CR-0015084-2020,Male,Asian/Pacific Islander
MC-51-CR-0012145-2020,Male,White
MC-51-CR-0021589-2020,Male,Black
MC-51-CR-0002470-2020,Female,Black
MC-51-CR-0016972-2020,Male,Black
MC-51-CR-0001116-2020,Female,Black
MC-51-CR-0013742-2020,Male,Black
MC-51-CR-0014683-2020,Female,Black
MC-51-CR-0011423-2020,Male,White
MC-51-CR-0003277-2020,Female,Black
MC-51-CR-0014875-2020,Male,Black
MC-51-CR-0003011-2020,Male,Black
MC-51-CR-0016784-2020,Female,Black
MC-51-CR-0011645-2020,Male,Black
MC-51-CR-0013524-2020,Male,Black
MC-51-CR-0022289-2020,Male,Black
MC-51-CR-0001370-2020,Female,Black
MC-51-CR-0021320-2020,Male,Black
MC-51-CR-0019733-2020,Female,Black
MC-51-CR-0005318-2020,Female,Black
MC-51-CR-0007079-2020,Male,Black
MC-51-CR-0009206-2020,Female,White
MC-51-CR-0009060-2020,Male,Black
MC-51-CR-0019555-2020,Male,Black
MC-51-CR-0021146-2020,Male,Black
MC-51-CR-0016785-2020,Female,Black
MC-51-CR-0011644-2020,Male,Black
MC-51-CR-0014874-2020,Male,Black
MC-51-CR-0003010-2020,Male,Black
MC-51-CR-0022288-2020,Male,White
MC-51-CR-0013525-2020,Male,Black
MC-51-CR-0013743-2020,Female,White
MC-51-CR-0014682-2020,Male,Black
MC-51-CR-0016973-2020,Male,Black
MC-51-CR-0001117-2020,Male,Black
MC-51-CR-0003276-2020,Male,White
MC-51-CR-0011422-2020,Male,Black
MC-51-CR-0009061-2020,Male,Black
MC-51-CR-0021147-2020,Female,Black
MC-51-CR-0019554-2020,Male,Black
MC-51-CR-0019732-2020,Female,White
MC-51-CR-0005319-2020,Female,Black
MC-51-CR-0021321-2020,Male,Black
MC-51-CR-0009207-2020,Female,Black
MC-51-CR-0007078-2020,Male,Black
MC-51-CR-0004484-2020,Male,White
MC-51-CR-0003545-2020,Male,White
MC-51-CR-0011311-2020,Female,Black
MC-51-CR-0004814-2020,Male,White
MC-51-CR-0013070-2020,Male,White
