docket_no,sex,race
MC-51-CR-0009735-2020,Male,Black
MC-51-CR-0003522-2020,Male,White
MC-51-CR-0011376-2020,Female,White
MC-51-CR-0013017-2020,Male,Black
MC-51-CR-0004873-2020,Male,Black
MC-51-CR-0001643-2020,Male,Black
MC-51-CR-0006782-2020,Female,White
MC-51-CR-0001425-2020,Male,Black
MC-51-CR-0013271-2020,Male,Black
MC-51-CR-0011110-2020,Male,White
MC-51-CR-0006974-2020,Female,Black
MC-51-CR-0004685-2020,Male,White
MC-51-CR-0019201-2020,Male,White
MC-51-CR-0021612-2020,Male,Black
MC-51-CR-0009734-2020,Male,Black
MC-51-CR-0015179-2020,Male,White
MC-51-CR-0021474-2020,Male,Black
MC-51-CR-0017218-2020,Male,White
MC-51-CR-0019067-2020,Male,Black
MC-51-CR-0013270-2020,Male,Black
MC-51-CR-0001424-2020,Male,Black
MC-51-CR-0004684-2020,Male,Black
MC-51-CR-0003745-2020,Male,Asian/Pacific Islander
MC-51-CR-0011111-2020,Male,White
MC-51-CR-0006975-2020,Female,Black
MC-51-CR-0011377-2020,Male,Black
MC-51-CR-0003523-2020,Male,White
MC-51-CR-0001642-2020,Male,Black
MC-51-CR-0006783-2020,Male,Black
MC-51-CR-0013016-2020,Male,Black
MC-51-CR-0011051-2020,Male,Black
MC-51-CR-0006835-2020,Female,Black
MC-51-CR-0016190-2020,Male,Black
MC-51-CR-0003605-2020,Male,Black
MC-51-CR-0001564-2020,Male,White
MC-51-CR-0013330-2020,Male,Black
MC-51-CR-0014097-2020,Male,White
MC-51-CR-0013156-2020,Male,White
MC-51-CR-0004932-2020,Male,White
MC-51-CR-0001702-2020,Male,Black
MC-51-CR-0018189-2020,Female,White
MC-51-CR-0003463-2020,Female,Black
MC-51-CR-0011237-2020,Male,Black
MC-51-CR-0009674-2020,Male,White
MC-51-CR-0021752-2020,Male,Black
MC-51-CR-0019341-2020,Male,Black
MC-51-CR-0019127-2020,Male,Black
MC-51-CR-0009882-2020,Male,Black
MC-51-CR-0010299-2020,Male,White
MC-51-CR-0021534-2020,Female,White
MC-51-CR-0017358-2020,Male,White
MC-51-CR-0009412-2020,Male,Black
MC-51-CR-0015039-2020,Male,White
MC-51-CR-0014096-2020,Male,White
MC-51-CR-0013157-2020,Female,Black
MC-51-CR-0004933-2020,Male,White
MC-51-CR-0011236-2020,Male,Black
MC-51-CR-0018188-2020,Male,Black
MC-51-CR-0003462-2020,Male,Black
MC-51-CR-0011050-2020,Male,Black
MC-51-CR-0006834-2020,Female,White
MC-51-CR-0016191-2020,Male,Black
MC-51-CR-0013331-2020,Male,Black
MC-51-CR-0001565-2020,Male,Black
MC-51-CR-0021535-2020,Male,Asian/Pacific Islander
MC-51-CR-0010298-2020,Male,White
MC-51-CR-0017359-2020,Male,Black
MC-51-CR-0019126-2020,Male,Black
MC-51-CR-0009883-2020,Male,Black
MC-51-CR-0015038-2020,Female,Black
MC-51-CR-0009675-2020,Male,White
MC-51-CR-0019340-2020,Male,Black
MC-51-CR-0021753-2020,Female,Black
MC-51-CR-0022235-2020,Male,Black
MC-51-CR-0013598-2020,Male,Black
MC-51-CR-0014459-2020,Male,White
MC-51-CR-0008072-2020,Male,Black
MC-51-CR-0013908-2020,Male,Black
MC-51-CR-0018547-2020,Male,White
MC-51-CR-0016738-2020,Male,Black
MC-51-CR-0020154-2020,Male,Black
MC-51-CR-0020332-2020,Male,White
MC-51-CR-0018721-2020,Male,Black
MC-51-CR-0022053-2020,Female,Black
MC-51-CR-0008214-2020,Male,White
MC-51-CR-0015867-2020,Male,Black
MC-51-CR-0010657-2020,Female,Black
MC-51-CR-0019979-2020,Male,Black
MC-51-CR-0012536-2020,Male,Black
MC-51-CR-0000362-2020,Male,Black
MC-51-CR-0017960-2020,Male,Black
MC-51-CR-0000104-2020,Male,White
MC-51-CR-0012750-2020,Male,Black
MC-51-CR-0015691-2020,Female,Black
MC-51-CR-0010431-2020,Female,Black
MC-51-CR-0018720-2020,Male,Black
MC-51-CR-0020333-2020,Male,White
MC-51-CR-0022052-2020,Female,White
MC-51-CR-0008215-2020,Male,White
MC-51-CR-0013599-2020,Male,Black
MC-51-CR-0022234-2020,Male,White
MC-51-CR-0014458-2020,Male,Black
MC-51-CR-0008073-2020,Male,Black
MC-51-CR-0016739-2020,Male,Black
MC-51-CR-0020155-2020,Male,Black
MC-51-CR-0013909-2020,Male,Black
MC-51-CR-0018546-2020,Male,Black
MC-51-CR-0012751-2020,Male,Black
MC-51-CR-0015690-2020,Female,Black
MC-51-CR-0017961-2020,Male,White
MC-51-CR-0000105-2020,Male,Black
MC-51-CR-0002264-2020,Male,White
MC-51-CR-0010430-2020,Male,Black
MC-51-CR-0010656-2020,Female,White
MC-51-CR-0015866-2020,Male,Asian/Pacific Islander
MC-51-CR-0002002-2020,Male,White
MC-51-CR-0000363-2020,Female,Black
MC-51-CR-0019978-2020,Male,Black
MC-51-CR-0020666-2020,Male,Black
MC-51-CR-0018275-2020,Male,Black
MC-51-CR-0022507-2020,Male,Black
MC-51-CR-0003969-2020,Male,Black
MC-51-CR-0008526-2020,Male,Black
MC-51-CR-0022761-2020,Male,Black
MC-51-CR-0020890-2020,Male,White
MC-51-CR-0006759-2020,Male,White
MC-51-CR-0004438-2020,Male,Black
MC-51-CR-0018013-2020,Female,Black
MC-51-CR-0020400-2020,Male,Black
MC-51-CR-0000450-2020,Male,White
MC-51-CR-0007591-2020,Male,Black
MC-51-CR-0012204-2020,Male,Black
MC-51-CR-0007901-2020,Male,Black
MC-51-CR-0010165-2020,Male,Black
MC-51-CR-0005496-2020,Male,Black
MC-51-CR-0009918-2020,Male,Black
MC-51-CR-0002557-2020,Male,Black
MC-51-CR-0010303-2020,Male,Black
MC-51-CR-0009588-2020,Male,Black
MC-51-CR-0005806-2020,Male,Black
MC-51-CR-0012062-2020,Male,White
MC-51-CR-0020891-2020,Male,Black
MC-51-CR-0006758-2020,Male,White
MC-51-CR-0003968-2020,Male,Black
MC-51-CR-0008527-2020,Female,Black
MC-51-CR-0022760-2020,Male,Black
MC-51-CR-0020401-2020,Male,Black
MC-51-CR-0004439-2020,Female,Black
MC-51-CR-0018012-2020,Female,Black
MC-51-CR-0018274-2020,Male,Black
MC-51-CR-0020667-2020,Male,Black
MC-51-CR-0008741-2020,Male,Black
MC-51-CR-0022506-2020,Male,White
MC-51-CR-0005497-2020,Male,Black
MC-51-CR-0009919-2020,Male,Black
MC-51-CR-0002556-2020,Male,White
MC-51-CR-0005807-2020,Male,Black
MC-51-CR-0012063-2020,Male,White
MC-51-CR-0012205-2020,Male,Black
MC-51-CR-0000451-2020,Male,White
MC-51-CR-0007590-2020,Male,Black
MC-51-CR-0007900-2020,Male,Black
MC-51-CR-0010164-2020,Male,Black
MC-51-CR-0013402-2020,Male,Black
MC-51-CR-0006397-2020,Male,Black
MC-51-CR-0003137-2020,Male,Black
MC-51-CR-0014953-2020,Female,Black
MC-51-CR-0013892-2020,Female,White
MC-51-CR-0011763-2020,Male,White
MC-51-CR-0011505-2020,Male,Black
MC-51-CR-0003351-2020,Male,Black
MC-51-CR-0004290-2020,Female,Black
MC-51-CR-0011995-2020,Male,White
MC-51-CR-0001030-2020,Male,Black
MC-51-CR-0016854-2020,Male,Black
MC-51-CR-0013664-2020,Female,White
MC-51-CR-0002199-2020,Male,Black
MC-51-CR-0019473-2020,Male,Black
MC-51-CR-0021060-2020,Male,Asian/Pacific Islander
MC-51-CR-0009146-2020,Male,Black
MC-51-CR-0007339-2020,Male,White
MC-51-CR-0009320-2020,Male,Black
MC-51-CR-0021206-2020,Male,Black
MC-51-CR-0019615-2020,Male,Black
MC-51-CR-0003350-2020,Female,White
MC-51-CR-0011504-2020,Male,Black
MC-51-CR-0013665-2020,Male,White
MC-51-CR-0011994-2020,Male,Black
MC-51-CR-0001031-2020,Male,Black
MC-51-CR-0016855-2020,Male,Black
MC-51-CR-0006396-2020,Male,Black
MC-51-CR-0013403-2020,Male,Black
MC-51-CR-0003136-2020,Male,Black
MC-51-CR-0014952-2020,Male,Black
MC-51-CR-0013893-2020,Male,White
MC-51-CR-0009321-2020,Male,Black
MC-51-CR-0019614-2020,Male,Black
MC-51-CR-0021207-2020,Male,Black
MC-51-CR-0021061-2020,Male,Black
MC-51-CR-0002198-2020,Male,Black
MC-51-CR-0019472-2020,Male,White
MC-51-CR-0005059-2020,Male,White
MC-51-CR-0007338-2020,Female,Black
MC-51-CR-0022595-2020,Male,Black
MC-51-CR-0013238-2020,Male,Black
MC-51-CR-0011159-2020,Female,White
MC-51-CR-0016098-2020,Female,White
MC-51-CR-0018081-2020,Male,White
MC-51-CR-0008924-2020,Male,White
MC-51-CR-0020492-2020,Male,Black
MC-51-CR-0020802-2020,Female,White
MC-51-CR-0007993-2020,Male,Black
MC-51-CR-0017036-2020,Male,Black
MC-51-CR-0019249-2020,Male,White
MC-51-CR-0005662-2020,Female,Black
MC-51-CR-0015357-2020,Male,White
MC-51-CR-0012296-2020,Female,Black
MC-51-CR-0015131-2020,Male,Black
MC-51-CR-0002955-2020,Male,Black
MC-51-CR-0007765-2020,Male,White
MC-51-CR-0005404-2020,Male,Black
MC-51-CR-0017250-2020,Male,Black
MC-51-CR-0020493-2020,Male,Black
MC-51-CR-0018080-2020,Male,White
MC-51-CR-0008925-2020,Male,Black
MC-51-CR-0020803-2020,Female,Black
MC-51-CR-0013239-2020,Female,Black
MC-51-CR-0022594-2020,Male,White
MC-51-CR-0011158-2020,Male,White
MC-51-CR-0016099-2020,Male,Black
MC-51-CR-0007764-2020,Female,Black
MC-51-CR-0015130-2020,Male,Black
MC-51-CR-0017251-2020,Male,Black
MC-51-CR-0005405-2020,Male,Black
MC-51-CR-0019248-2020,Male,White
MC-51-CR-0007992-2020,Male,Black
MC-51-CR-0017037-2020,Male,Black
MC-51-CR-0015356-2020,Male,White
MC-51-CR-0012297-2020,Male,Black
MC-51-CR-0013800-2020,Male,White
MC-51-CR-0004064-2020,Male,Black
MC-51-CR-0016630-2020,Female,White
MC-51-CR-0013490-2020,Male,Black
MC-51-CR-0014551-2020,Male,Black
MC-51-CR-0011907-2020,Male,Black
MC-51-CR-0006163-2020,Male,Black
MC-51-CR-0014737-2020,Male,Black
MC-51-CR-0016456-2020,Male,Black
MC-51-CR-0011597-2020,Female,White
MC-51-CR-0004202-2020,Male,Black
MC-51-CR-0018629-2020,Male,Black
MC-51-CR-0019871-2020,Male,White
MC-51-CR-0010539-2020,Male,Black
MC-51-CR-0021294-2020,Male,White
MC-51-CR-0019687-2020,Male,Black
MC-51-CR-0017868-2020,Male,Black
MC-51-CR-0012658-2020,Male,White
MC-51-CR-0015799-2020,Male,Black
MC-51-CR-0014736-2020,Male,Black
MC-51-CR-0011906-2020,Male,White
MC-51-CR-0006162-2020,Male,Black
MC-51-CR-0018628-2020,Male,White
MC-51-CR-0016457-2020,Male,Black
MC-51-CR-0011596-2020,Male,White
MC-51-CR-0016631-2020,Female,Black
MC-51-CR-0013801-2020,Female,White
MC-51-CR-0004065-2020,Male,White
MC-51-CR-0006304-2020,Male,Black
MC-51-CR-0013491-2020,Male,Black
MC-51-CR-0014550-2020,Male,Black
MC-51-CR-0019686-2020,Male,White
MC-51-CR-0021295-2020,Male,Black
MC-51-CR-0010538-2020,Male,Black
MC-51-CR-0012659-2020,Male,White
MC-51-CR-0015798-2020,Male,Black
MC-51-CR-0017869-2020,Male,Black
MC-51-CR-0019870-2020,Female,White
MC-51-CR-0006437-2020,Male,White
MC-51-CR-0014263-2020,Male,Black
MC-51-CR-0008648-2020,Male,Black
MC-51-CR-0001966-2020,Male,Black
MC-51-CR-0016102-2020,Male,Black
MC-51-CR-0004756-2020,Male,Black
MC-51-CR-0003697-2020,Male,Black
MC-51-CR-0004530-2020,Male,White
MC-51-CR-0020508-2020,Male,White
MC-51-CR-0016364-2020,Female,White
MC-51-CR-0003861-2020,Male,White
MC-51-CR-0014005-2020,Male,Black
MC-51-CR-0022669-2020,Male,Black
MC-51-CR-0006651-2020,Male,Black
MC-51-CR-0020998-2020,Male,Black
MC-51-CR-0007809-2020,Male,Black
MC-51-CR-0002639-2020,Male,Black
MC-51-CR-0000558-2020,Male,White
MC-51-CR-0009480-2020,Male,Asian/Pacific Islander
MC-51-CR-0021936-2020,Male,Black
MC-51-CR-0020509-2020,Male,White
MC-51-CR-0016365-2020,Male,Black
MC-51-CR-0004531-2020,Male,White
MC-51-CR-0001791-2020,Male,Black
MC-51-CR-0006650-2020,Male,White
MC-51-CR-0020999-2020,Male,Black
MC-51-CR-0014004-2020,Male,Black
MC-51-CR-0022668-2020,Male,Black
MC-51-CR-0014262-2020,Male,White
MC-51-CR-0008649-2020,Male,Black
MC-51-CR-0006436-2020,Male,Black
MC-51-CR-0004757-2020,Male,Black
MC-51-CR-0003696-2020,Male,Black
MC-51-CR-0001967-2020,Male,Black
MC-51-CR-0016103-2020,Male,Black
MC-51-CR-0021937-2020,Male,Black
MC-51-CR-0009481-2020,Male,White
MC-51-CR-0009811-2020,Male,Black
MC-51-CR-0002638-2020,Male,Black
MC-51-CR-0007808-2020,Male,Black
MC-51-CR-0000559-2020,Male,White
MC-51-CR-0018945-2020,Male,White
MC-51-CR-0001138-2020,Male,Black
MC-51-CR-0008286-2020,Male,Black
MC-51-CR-0003259-2020,Male,White
MC-51-CR-0015465-2020,Female,Black
MC-51-CR-0007231-2020,Male,Black
MC-51-CR-0002091-2020,Male,Black
MC-51-CR-0005150-2020,Male,Black
MC-51-CR-0012934-2020,Male,Black
MC-51-CR-0017704-2020,Male,White
MC-51-CR-0021168-2020,Male,Black
MC-51-CR-0017562-2020,Male,Black
MC-51-CR-0005336-2020,Female,White
MC-51-CR-0007057-2020,Male,Black
MC-51-CR-0010833-2020,Male,White
MC-51-CR-0009228-2020,Male,White
MC-51-CR-0015603-2020,Male,Black
MC-51-CR-0008287-2020,Male,Black
MC-51-CR-0001139-2020,Male,Black
MC-51-CR-0003258-2020,Male,White
MC-51-CR-0018944-2020,Male,Black
MC-51-CR-0005337-2020,Female,Black
MC-51-CR-0017563-2020,Male,Black
MC-51-CR-0009229-2020,Male,White
MC-51-CR-0015602-2020,Male,Black
MC-51-CR-0007056-2020,Male,White
MC-51-CR-0010832-2020,Male,Black
MC-51-CR-0000197-2020,Male,White
MC-51-CR-0007230-2020,Male,Black
MC-51-CR-0015464-2020,Male,White
MC-51-CR-0017705-2020,Male,Black
MC-51-CR-0021169-2020,Male,Black
MC-51-CR-0002090-2020,Male,Black
MC-51-CR-0005151-2020,Male,Black
MC-51-CR-0012935-2020,Male,Black
MC-51-CR-0006331-2020,Male,Black
MC-51-CR-0014565-2020,Female,Black
MC-51-CR-0022309-2020,Male,Black
MC-51-CR-0020068-2020,Female,White
MC-51-CR-0016604-2020,Female,Black
MC-51-CR-0004050-2020,Male,Black
MC-51-CR-0013834-2020,Female,White
MC-51-CR-0003191-2020,Male,White
MC-51-CR-0004236-2020,Male,Black
MC-51-CR-0016462-2020,Male,White
MC-51-CR-0008328-2020,Male,Black
MC-51-CR-0014703-2020,Male,White
MC-51-CR-0001096-2020,Male,Black
MC-51-CR-0006157-2020,Male,Black
MC-51-CR-0011933-2020,Male,White
MC-51-CR-0019845-2020,Male,Black
MC-51-CR-0009386-2020,Female,Black
MC-51-CR-0000038-2020,Female,Black
MC-51-CR-0005298-2020,Male,Black
MC-51-CR-0002359-2020,Male,Black
MC-51-CR-0016463-2020,Male,White
MC-51-CR-0004237-2020,Male,Black
MC-51-CR-0001097-2020,Female,Black
MC-51-CR-0011932-2020,Male,White
MC-51-CR-0008329-2020,Male,Black
MC-51-CR-0014702-2020,Male,White
MC-51-CR-0014564-2020,Male,Black
MC-51-CR-0022308-2020,Male,White
MC-51-CR-0006330-2020,Male,Black
MC-51-CR-0013835-2020,Female,Black
MC-51-CR-0003190-2020,Male,Black
MC-51-CR-0020069-2020,Female,White
MC-51-CR-0016605-2020,Male,Black
MC-51-CR-0000039-2020,Male,Black
MC-51-CR-0009387-2020,Female,Black
MC-51-CR-0002358-2020,Male,White
MC-51-CR-0019844-2020,Male,Black
MC-51-CR-0003739-2020,Female,Black
MC-51-CR-0006909-2020,Male,Black
MC-51-CR-0006599-2020,Male,Black
MC-51-CR-0020836-2020,Male,White
MC-51-CR-0008580-2020,Male,Black
MC-51-CR-0008910-2020,Male,Black
MC-51-CR-0015363-2020,Male,Black
MC-51-CR-0009748-2020,Male,Black
MC-51-CR-0007537-2020,Male,Black
MC-51-CR-0002797-2020,Male,Black
MC-51-CR-0005656-2020,Male,Black
MC-51-CR-0000866-2020,Male,White
MC-51-CR-0017002-2020,Male,Black
MC-51-CR-0017264-2020,Male,Black
MC-51-CR-0021408-2020,Male,Black
MC-51-CR-0005430-2020,Female,Black
MC-51-CR-0007751-2020,Male,Black
MC-51-CR-0021898-2020,Male,Black
MC-51-CR-0000690-2020,Male,White
MC-51-CR-0015105-2020,Male,Black
MC-51-CR-0008581-2020,Female,Black
MC-51-CR-0020837-2020,Male,White
MC-51-CR-0006908-2020,Female,Black
MC-51-CR-0003738-2020,Male,White
MC-51-CR-0006598-2020,Male,White
MC-51-CR-0001459-2020,Male,Black
MC-51-CR-0005431-2020,Female,Black
MC-51-CR-0017265-2020,Male,Black
MC-51-CR-0021409-2020,Female,Black
MC-51-CR-0015104-2020,Male,White
MC-51-CR-0007750-2020,Male,Black
MC-51-CR-0021899-2020,Male,White
MC-51-CR-0000691-2020,Male,Black
MC-51-CR-0007536-2020,Male,White
MC-51-CR-0015362-2020,Male,Black
MC-51-CR-0009749-2020,Male,White
MC-51-CR-0000867-2020,Male,White
MC-51-CR-0017003-2020,Male,Black
MC-51-CR-0002796-2020,Male,Black
MC-51-CR-0005657-2020,Male,Black
MC-51-CR-0022293-2020,Male,Black
MC-51-CR-0018971-2020,Male,Black
MC-51-CR-0018787-2020,Female,White
MC-51-CR-0020394-2020,Male,Black
MC-51-CR-0011439-2020,Male,White
MC-51-CR-0014699-2020,Male,White
MC-51-CR-0013758-2020,Male,Asian/Pacific Islander
MC-51-CR-0016968-2020,Male,White
MC-51-CR-0017730-2020,Male,Black
MC-51-CR-0012900-2020,Male,Black
MC-51-CR-0005164-2020,Male,Black
MC-51-CR-0007205-2020,Male,White
MC-51-CR-0015451-2020,Male,Black
MC-51-CR-0012590-2020,Male,White
MC-51-CR-0015637-2020,Male,White
MC-51-CR-0010807-2020,Male,Black
MC-51-CR-0007063-2020,Male,Black
MC-51-CR-0005302-2020,Male,White
MC-51-CR-0019729-2020,Male,White
MC-51-CR-0010497-2020,Male,Black
MC-51-CR-0017556-2020,Male,Black
MC-51-CR-0011438-2020,Female,White
MC-51-CR-0020395-2020,Male,Black
MC-51-CR-0018786-2020,Male,Black
MC-51-CR-0016969-2020,Male,White
MC-51-CR-0014698-2020,Male,White
MC-51-CR-0013759-2020,Female,White
MC-51-CR-0018970-2020,Male,Black
MC-51-CR-0022292-2020,Male,Black
MC-51-CR-0010806-2020,Male,Black
MC-51-CR-0007062-2020,Male,Black
MC-51-CR-0015636-2020,Male,White
MC-51-CR-0010496-2020,Male,Black
MC-51-CR-0017557-2020,Male,Black
MC-51-CR-0019728-2020,Male,White
MC-51-CR-0012901-2020,Male,Black
MC-51-CR-0017731-2020,Male,Black
MC-51-CR-0015450-2020,Male,Black
MC-51-CR-0018349-2020,Male,Black
MC-51-CR-0004762-2020,Male,Black
MC-51-CR-0016136-2020,Male,White
MC-51-CR-0001952-2020,Male,Black
MC-51-CR-0006893-2020,Male,White
MC-51-CR-0014257-2020,Female,White
MC-51-CR-0006403-2020,Male,White
MC-51-CR-0004994-2020,Male,White
MC-51-CR-0014031-2020,Male,Black
MC-51-CR-0003855-2020,Male,White
MC-51-CR-0016350-2020,Male,Black
MC-51-CR-0011291-2020,Male,Black
MC-51-CR-0004504-2020,Male,Black
MC-51-CR-0012338-2020,Male,White
MC-51-CR-0017198-2020,Female,Black
MC-51-CR-0010059-2020,Male,White
MC-51-CR-0021592-2020,Male,Black
MC-51-CR-0009824-2020,Male,Black
MC-51-CR-0019181-2020,Male,Black
MC-51-CR-0021902-2020,Male,Black
MC-51-CR-0004995-2020,Male,White
MC-51-CR-0014030-2020,Male,Black
MC-51-CR-0003854-2020,Male,White
MC-51-CR-0006664-2020,Male,White
MC-51-CR-0004505-2020,Male,White
MC-51-CR-0016351-2020,Male,Black
MC-51-CR-0011290-2020,Female,Black
MC-51-CR-0016137-2020,Male,White
MC-51-CR-0001953-2020,Male,White
MC-51-CR-0006892-2020,Male,White
MC-51-CR-0018348-2020,Male,Black
MC-51-CR-0004763-2020,Male,Black
MC-51-CR-0006402-2020,Male,White
MC-51-CR-0013397-2020,Male,Black
MC-51-CR-0014256-2020,Male,White
MC-51-CR-0009825-2020,Male,Black
MC-51-CR-0019180-2020,Male,Black
MC-51-CR-0021593-2020,Male,Black
MC-51-CR-0021903-2020,Male,Black
MC-51-CR-0012339-2020,Male,Black
MC-51-CR-0017199-2020,Male,Black
MC-51-CR-0010058-2020,Male,Black
MC-51-CR-0020160-2020,Male,Black
MC-51-CR-0018573-2020,Male,Black
MC-51-CR-0004158-2020,Male,Black
MC-51-CR-0003099-2020,Male,Black
MC-51-CR-0006239-2020,Male,White
MC-51-CR-0008046-2020,Male,White
MC-51-CR-0022201-2020,Male,Black
MC-51-CR-0008220-2020,Female,Black
MC-51-CR-0022067-2020,Male,White
MC-51-CR-0018715-2020,Male,White
MC-51-CR-0020306-2020,Male,White
MC-51-CR-0007297-2020,Male,White
MC-51-CR-0012502-2020,Male,Black
MC-51-CR-0010663-2020,Female,Black
MC-51-CR-0012992-2020,Male,Black
MC-51-CR-0002037-2020,Male,White
MC-51-CR-0015853-2020,Female,White
MC-51-CR-0005390-2020,Male,Black
MC-51-CR-0002251-2020,Female,White
MC-51-CR-0010405-2020,Male,Black
MC-51-CR-0012764-2020,Male,Black
MC-51-CR-0000130-2020,Female,Black
MC-51-CR-0017954-2020,Male,Black
MC-51-CR-0010895-2020,Male,White
MC-51-CR-0008221-2020,Female,Black
MC-51-CR-0022066-2020,Male,Black
MC-51-CR-0020307-2020,Male,White
MC-51-CR-0018714-2020,Male,White
MC-51-CR-0018572-2020,Male,White
MC-51-CR-0004159-2020,Male,Black
MC-51-CR-0020161-2020,Female,Black
MC-51-CR-0008047-2020,Male,Black
MC-51-CR-0022200-2020,Male,Black
MC-51-CR-0006238-2020,Male,Black
MC-51-CR-0010404-2020,Male,Black
MC-51-CR-0005391-2020,Male,Black
MC-51-CR-0002250-2020,Male,Black
MC-51-CR-0000131-2020,Female,Black
MC-51-CR-0017955-2020,Male,Black
MC-51-CR-0010894-2020,Female,White
MC-51-CR-0012765-2020,Male,Black
MC-51-CR-0012503-2020,Male,White
MC-51-CR-0000357-2020,Male,Black
MC-51-CR-0007296-2020,Male,Black
MC-51-CR-0012993-2020,Male,Black
MC-51-CR-0002036-2020,Male,Black
MC-51-CR-0015852-2020,Male,White
MC-51-CR-0010662-2020,Male,Black
MC-51-CR-0013304-2020,Male,White
MC-51-CR-0006491-2020,Male,Black
MC-51-CR-0001550-2020,Female,White
MC-51-CR-0003631-2020,Female,White
MC-51-CR-0022839-2020,Male,Black
MC-51-CR-0006801-2020,Male,Black
MC-51-CR-0011065-2020,Male,Black
MC-51-CR-0011203-2020,Male,Black
MC-51-CR-0008818-2020,Male,Black
MC-51-CR-0003457-2020,Male,Black
MC-51-CR-0004596-2020,Male,White
MC-51-CR-0001736-2020,Male,Black
MC-51-CR-0004906-2020,Male,Black
MC-51-CR-0013162-2020,Male,Black
MC-51-CR-0008488-2020,Male,Black
MC-51-CR-0019375-2020,Female,White
MC-51-CR-0021766-2020,Male,Black
MC-51-CR-0009640-2020,Male,Black
MC-51-CR-0021990-2020,Male,White
MC-51-CR-0007659-2020,Male,Black
MC-51-CR-0000798-2020,Male,White
MC-51-CR-0002869-2020,Male,White
MC-51-CR-0009426-2020,Male,Black
MC-51-CR-0021500-2020,Male,White
MC-51-CR-0005538-2020,Male,White
MC-51-CR-0019113-2020,Male,Black
MC-51-CR-0008819-2020,Male,Black
MC-51-CR-0003456-2020,Male,Black
MC-51-CR-0011202-2020,Male,Black
MC-51-CR-0004907-2020,Male,Black
MC-51-CR-0013163-2020,Male,White
MC-51-CR-0008489-2020,Male,Black
MC-51-CR-0001737-2020,Female,White
MC-51-CR-0006490-2020,Male,Black
MC-51-CR-0013305-2020,Female,White
MC-51-CR-0006800-2020,Male,Black
MC-51-CR-0011064-2020,Male,Black
MC-51-CR-0003630-2020,Female,White
MC-51-CR-0022838-2020,Male,White
MC-51-CR-0002868-2020,Male,Black
MC-51-CR-0009427-2020,Male,Black
MC-51-CR-0021991-2020,Male,Black
MC-51-CR-0007658-2020,Female,White
MC-51-CR-0000799-2020,Male,Black
MC-51-CR-0005539-2020,Male,White
MC-51-CR-0019112-2020,Male,Black
MC-51-CR-0021501-2020,Male,White
MC-51-CR-0021767-2020,Female,Black
MC-51-CR-0019374-2020,Female,White
MC-51-CR-0009641-2020,Male,Black
MC-51-CR-0011757-2020,Male,Black
MC-51-CR-0016696-2020,Male,Black
MC-51-CR-0014967-2020,Male,Black
MC-51-CR-0003103-2020,Male,White
MC-51-CR-0001262-2020,Male,White
MC-51-CR-0018879-2020,Male,White
MC-51-CR-0013436-2020,Male,Black
MC-51-CR-0014791-2020,Male,Black
MC-51-CR-0013650-2020,Male,Black
MC-51-CR-0016860-2020,Male,Black
MC-51-CR-0001004-2020,Male,Black
MC-51-CR-0003365-2020,Female,Black
MC-51-CR-0011531-2020,Male,White
MC-51-CR-0015559-2020,Male,Black
MC-51-CR-0009172-2020,Male,Black
MC-51-CR-0012498-2020,Male,Black
MC-51-CR-0021054-2020,Male,Black
MC-51-CR-0017638-2020,Male,Black
MC-51-CR-0012808-2020,Male,Black
MC-51-CR-0019447-2020,Male,Black
MC-51-CR-0019621-2020,Male,Black
MC-51-CR-0021232-2020,Male,Black
MC-51-CR-0009314-2020,Male,Black
MC-51-CR-0016861-2020,Male,Black
MC-51-CR-0001005-2020,Male,Black
MC-51-CR-0014790-2020,Male,Black
MC-51-CR-0013651-2020,Male,Black
MC-51-CR-0011530-2020,Male,Black
MC-51-CR-0003364-2020,Male,Black
MC-51-CR-0014966-2020,Male,Black
MC-51-CR-0003102-2020,Male,White
MC-51-CR-0011756-2020,Male,Black
MC-51-CR-0016697-2020,Male,Black
MC-51-CR-0018878-2020,Male,Black
MC-51-CR-0013437-2020,Female,Black
MC-51-CR-0001263-2020,Male,White
MC-51-CR-0021233-2020,Male,Black
MC-51-CR-0019620-2020,Male,White
MC-51-CR-0009315-2020,Female,White
MC-51-CR-0015558-2020,Male,Black
MC-51-CR-0012499-2020,Male,Black
MC-51-CR-0012809-2020,Male,White
MC-51-CR-0019446-2020,Female,Black
MC-51-CR-0021055-2020,Male,White
MC-51-CR-0017639-2020,Male,White
MC-51-CR-0022533-2020,Male,Black
MC-51-CR-0008774-2020,Male,Black
MC-51-CR-0018241-2020,Female,Black
MC-51-CR-0020652-2020,Male,Black
MC-51-CR-0016258-2020,Male,Black
MC-51-CR-0020434-2020,Male,Black
MC-51-CR-0011399-2020,Male,White
MC-51-CR-0008982-2020,Male,Black
MC-51-CR-0018027-2020,Male,Black
MC-51-CR-0022755-2020,Female,Black
MC-51-CR-0008512-2020,Male,Black
MC-51-CR-0014139-2020,Female,White
MC-51-CR-0002705-2020,Male,Black
MC-51-CR-0017090-2020,Male,Black
MC-51-CR-0010151-2020,Male,White
MC-51-CR-0007935-2020,Male,Black
MC-51-CR-0012230-2020,Male,White
MC-51-CR-0000464-2020,Male,Black
MC-51-CR-0000602-2020,Male,White
MC-51-CR-0012056-2020,Male,Black
