,zipcode,households,families,married_families,nonfamily_households,households_less_than_$10000,"households_$10,000_to_$14,999","households_$15,000_to_$24,999","households_$25,000_to_$34,999","households_$35,000_to_$44,999","households_$45,000_to_$74,999","households_$75,000_to_$99,999","households_$100,000_to_$149,999","households_$150,000_to_$199,999","households_$200,000_or_more",households_median_income,households_mean_income,families_less_than_$10000,"families_$10,000_to_$14,999","families_$15,000_to_$24,999","families_$25,000_to_$34,999","families_$35,000_to_$44,999","families_$45,000_to_$74,999","families_$75,000_to_$99,999","families_$100,000_to_$149,999","families_$150,000_to_$199,999","families_$200,000_or_more",families_median_income,families_mean_income,married_families_less_than_$10000,"married_families_$10,000_to_$14,999","married_families_$15,000_to_$24,999","married_families_$25,000_to_$34,999","married_families_$35,000_to_$44,999","married_families_$45,000_to_$74,999","married_families_$75,000_to_$99,999","married_families_$100,000_to_$149,999","married_families_$150,000_to_$199,999","married_families_$200,000_or_more",married_families_median_income,married_families_mean_income,nonfamily_households_less_than_$10000,"nonfamily_households_$10,000_to_$14,999","nonfamily_households_$15,000_to_$24,999","nonfamily_households_$25,000_to_$34,999","nonfamily_households_$35,000_to_$44,999","nonfamily_households_$45,000_to_$74,999","nonfamily_households_$75,000_to_$99,999","nonfamily_households_$100,000_to_$149,999","nonfamily_households_$150,000_to_$199,999","nonfamily_households_$200,000_or_more",nonfamily_households_median_income,nonfamily_households_mean_income
13,19120,23206,15951,6908,7255,13.9,7.1,12.3,13.1,17.0,17.2,9.4,7.5,2.2,0.4,37891,47676,8.1,6.0,13.9,13.0,16.3,19.8,11.3,8.2,3.0,0.5,42604,53407,4.4,4.0,9.1,12.3,14.9,22.6,15.2,12.4,4.8,0.2,56529,63709,29.6,9.5,13.1,12.8,18.0,11.9,2.2,2.8,0.0,0.0,23318,28501
14,19121,11980,5178,1134,6802,26.8,13.6,15.9,9.8,11.0,10.1,6.5,4.7,0.6,1.1,19668,36436,19.6,9.8,17.8,11.2,11.3,13.1,7.6,7.7,1.9,0.3,27267,41790,6.3,2.0,10.1,7.6,10.6,29.6,12.8,15.4,4.4,1.2,58417,N,32.9,16.5,14.8,9.4,10.9,6.5,5.4,2.2,0.4,1.0,15292,31134
15,19122,6505,3280,1306,3225,19.4,8.1,12.8,8.6,12.7,16.3,7.9,8.5,3.0,2.7,35828,55359,13.1,4.6,10.7,12.0,14.9,20.1,8.4,10.9,1.6,3.7,45852,61957,8.5,1.1,7.5,6.2,13.4,24.8,11.6,15.8,3.6,7.4,63404,N,27.5,12.1,14.7,5.4,11.7,12.6,6.0,4.4,4.2,1.4,22987,45380
16,19123,7519,2444,1549,5075,13.4,6.9,6.2,5.6,8.1,10.8,12.5,16.4,9.7,10.7,73730,98166,9.0,3.9,7.0,7.1,8.7,8.6,10.0,14.4,12.4,19.0,90000,129691,1.1,0.6,4.3,2.7,9.0,10.6,11.2,17.9,16.5,26.0,133875,N,15.5,8.3,6.1,5.0,7.5,11.6,13.9,17.5,8.0,6.7,64657,82572
17,19124,22667,14305,5649,8362,14.5,9.6,14.7,13.5,12.9,14.6,10.1,7.5,2.0,0.7,33427,46870,10.7,7.9,16.5,12.6,13.7,14.9,11.2,8.6,3.0,0.9,38145,51350,4.8,3.2,7.6,10.0,13.3,20.1,17.6,16.1,5.7,1.6,61446,N,22.0,12.8,15.1,14.9,11.4,13.1,6.4,4.0,0.0,0.3,25044,35414
18,19125,10109,4337,2781,5772,8.0,3.9,7.9,7.7,13.7,15.5,13.6,16.6,7.5,5.6,65218,79506,8.6,4.6,6.4,6.8,15.1,12.2,11.6,18.8,8.2,7.7,66883,85058,0.5,0.9,3.1,3.4,15.3,11.7,14.7,27.1,12.0,11.3,100512,N,7.6,4.3,9.7,7.1,12.6,19.5,14.4,14.2,6.9,3.7,62922,73419
19,19126,5783,3337,1410,2446,14.8,4.9,13.2,12.3,11.6,16.7,10.8,9.6,3.3,2.7,41266,58851,9.5,2.2,11.1,10.1,10.0,19.7,15.8,15.3,3.8,2.4,60165,69133,0.3,0.3,3.7,5.0,10.2,19.6,17.6,30.4,8.0,4.8,95459,N,22.1,8.8,16.5,15.6,13.9,11.9,5.4,1.1,1.6,3.1,26495,43312
20,19127,2529,824,585,1705,7.9,3.7,4.5,6.0,13.8,14.9,13.8,23.8,7.0,4.6,73750,89063,0.0,2.7,9.6,5.9,14.2,8.5,9.8,28.6,11.2,9.5,96000,107969,0.0,3.8,5.3,2.4,6.3,4.1,13.8,35.2,15.7,13.3,125313,N,11.8,4.2,2.3,6.7,14.9,18.5,13.4,21.0,5.4,1.8,64114,77482
21,19128,16068,8513,6648,7555,4.5,2.9,6.0,9.3,9.6,18.9,12.9,19.9,8.8,7.2,72563,90345,1.3,1.1,4.5,8.4,7.1,18.1,14.4,22.7,12.1,10.3,90618,108456,0.5,0.6,3.5,7.5,6.0,12.3,15.1,26.8,14.8,13.0,109400,N,8.4,4.8,8.0,10.4,12.5,21.4,11.4,15.7,3.9,3.5,55184,67199
22,19129,4387,1981,1162,2406,11.9,6.0,4.7,6.0,13.2,12.0,12.1,18.0,7.8,8.3,63926,89801,5.4,4.8,3.1,3.3,13.2,9.2,15.2,24.6,7.3,13.8,91096,117169,0.0,2.3,0.3,0.3,8.3,5.0,18.2,31.8,12.5,21.1,133406,N,17.9,6.9,6.3,8.2,14.5,12.1,10.6,11.5,8.1,3.8,44944,65938
23,19130,13278,5090,3930,8188,4.8,2.1,6.7,6.8,9.2,15.4,13.0,19.2,9.7,13.0,82632,114019,2.8,0.5,4.1,4.3,8.4,8.5,9.1,19.8,17.1,25.3,127628,162119,1.8,0.0,0.6,2.1,6.2,6.5,8.3,23.4,19.5,31.6,155449,N,6.0,3.1,8.3,8.5,10.0,20.0,15.3,18.5,5.5,4.7,64595,82926
24,19131,17446,8770,3113,8676,19.3,9.3,11.8,9.8,13.8,14.5,10.0,8.6,1.2,1.7,34844,47086,12.8,8.4,11.3,9.3,15.7,15.1,12.5,10.4,1.9,2.7,43604,55568,7.3,5.0,4.3,7.8,10.7,20.8,17.6,16.9,2.8,6.7,70039,N,27.2,10.4,13.0,9.8,12.0,14.0,7.4,5.1,0.4,0.7,24531,36555
